type,output_path,prompt,width,height,transparent
npc,public/assets/characters/npcs/mother.png,唐代中年妇人，全身立绘，含双脚，站立姿，露出鞋袜，温婉端庄，简朴绸袄外披素色帔帛，发髻低挽插玉簪，神情怜爱微忧,768,1280,true
npc,public/assets/characters/npcs/wife.png,唐代士族妇人，全身立绘，含双脚，站立姿，露出鞋袜，三十余岁，眉间有忧色但眼神坚定，素色襦裙加披帛，发饰简朴，手持半旧布巾,768,1280,true
npc,public/assets/characters/npcs/son.png,唐代男童约六岁，全身，含双脚，站立姿，圆脸怯生生看人，朴素深灰小袍，发束双髻,768,1280,true
npc,public/assets/characters/npcs/daughter.png,唐代女童约四岁，全身，含双脚，站立姿，杏眼，桃红小襦裙，双丫髻，怯怯抓着父亲衣角的姿态,768,1280,true
npc,public/assets/characters/npcs/libai.png,唐代男子四十余岁，全身立绘，含双脚，站立姿，露出鞋袜，潇洒不羁，剑眉星目，白色道袍加大袖红色锦绣外袍，腰悬长剑，仰头微醺笑意，长发被风吹起,768,1280,true
npc,public/assets/characters/npcs/gaoshi.png,唐代男子四十余岁，全身立绘，含双脚，站立姿，露出鞋袜，方正脸庞蓄短须，目光坚毅，深褐色武人襦袍内罩软甲，腰束革带，正面端立,768,1280,true
npc,public/assets/characters/npcs/yanwu.png,唐代将领约四十岁，全身立绘，含双脚，站立姿，露出鞋袜，神情爽朗带威严，深紫色官袍配玉带，发髻戴乌纱幞头，手中持折扇半合,768,1280,true
npc,public/assets/characters/npcs/accuser.png,唐代御史官，全身立绘，含双脚，站立姿，露出鞋袜，三十余岁，面容严肃，浓眉，深绿色獬豸纹官袍，戴乌纱进贤冠，神情冷峻,768,1280,true
npc,public/assets/characters/npcs/drinker_a.png,唐代市井男子约四十岁，全身立绘，含双脚，站立姿，露出鞋袜，圆脸微胖，褐色襦衣解开领口，手举酒碗醉态可掬，发束布巾,768,1280,true
npc,public/assets/characters/npcs/drinker_b.png,唐代市井男子约五十岁，全身立绘，含双脚，站立姿，露出鞋袜，瘦削，灰布短衫，鼻头微红，抱臂将信将疑的神情,768,1280,true
npc,public/assets/characters/npcs/huji.png,唐代西域胡姬约二十岁，全身立绘，含双脚，站立姿，露出鞋袜，深目高鼻，鲜艳粟特风格袒胸长裙加波斯锦绣半臂，腕戴鎏金镯，发束高髻插步摇，手托酒壶微笑,768,1280,true
npc,public/assets/characters/npcs/messenger.png,唐代驿使，全身立绘，含双脚，站立姿，露出鞋袜，三十岁，劲装黑布短袍束革带，背筒插军报，气喘满面尘土，手抓马缰,768,1280,true
npc,public/assets/characters/npcs/official.png,唐代低阶文官约三十五岁，全身立绘，含双脚，站立姿，露出鞋袜，浅青色官袍束革带，戴乌纱幞头，神情仓皇，手抬欲遮面,768,1280,true
npc,public/assets/characters/npcs/refugee_woman.png,唐代乱世妇人约三十岁，全身立绘，含双脚，站立姿，露出鞋袜，头发凌乱裹布巾，怀抱襁褓婴儿，破旧灰麻襦裙染尘，泪流面颊,768,1280,true
npc,public/assets/characters/npcs/refugee_old.png,唐代乱世老人约六十岁，全身立绘，含双脚，站立姿，露出鞋袜，白发花白胡须，破旧深灰短衫，弓背拄拐杖，目光空洞,768,1280,true
npc,public/assets/characters/npcs/rebel_officer.png,安史叛军军官约三十五岁，全身立绘，含双脚，站立姿，露出鞋袜，胡人面孔，黑漆铁甲外披猩红披风，腰挎横刀，神情凶悍,768,1280,true
npc,public/assets/characters/npcs/clerk.png,唐代州县小吏约三十岁，全身立绘，含双脚，站立姿，露出鞋袜，瘦小，灰麻襕衫束布带，戴软脚幞头，手捧一叠文书，神情拘谨,768,1280,true
npc,public/assets/characters/npcs/officer_night.png,唐代乡兵差役约四十岁，全身立绘，含双脚，站立姿，露出鞋袜，深褐色短袍外披皂衫，腰挎短刀，手持火把，凶相毕露怒视前方，夜色氛围光,768,1280,true
npc,public/assets/characters/npcs/old_woman.png,唐代农家老妇约六十五岁，全身立绘，含双脚，站立姿，露出鞋袜，干瘦，灰白发束布巾，深褐色破旧麻襦，干裂的手交握于胸前，神情哀绝但镇定,768,1280,true
npc,public/assets/characters/npcs/xinhun.png,唐代新婚女子约十八岁，全身立绘，含双脚，站立姿，露出鞋袜，红色襦裙绣纹半新，妆容半残泪痕未干，发髻虽整但发钗略歪，手抓裙裾,768,1280,true
npc,public/assets/characters/npcs/wujia.png,唐代溃兵约二十五岁，全身立绘，含双脚，站立姿，露出鞋袜，左袖空荡断臂，破旧灰甲外披褐袍，发束乱，面有刀疤，眼神疲倦却倔强,768,1280,true
npc,public/assets/characters/npcs/chuilao.png,唐代被征老兵约六十岁，全身立绘，含双脚，站立姿，露出鞋袜，花白发须，旧甲不合身松垮，扶着长矛立身，眼神苍凉远望,768,1280,true
npc,public/assets/characters/npcs/farmer.png,唐代成都郊外老农约六十岁，全身立绘，含双脚，站立姿，露出鞋袜，朴素灰麻襦裙系草绳，戴宽边斗笠，黝黑皱纹笑脸，手捧一束新麦,768,1280,true
npc,public/assets/characters/npcs/boy.png,唐代农家男童约八岁，全身立绘，含双脚，站立姿，露出鞋袜，赤脚短打，双丫髻，活泼调皮笑容，手里抓着一束茅草,768,1280,true
npc,public/assets/characters/npcs/local_boy.png,唐代峡江少年约十四岁，全身立绘，含双脚，站立姿，露出鞋袜，棕色短衣束麻绳，发束布巾，手提炭篓，神情懂事,768,1280,true
npc,public/assets/characters/npcs/merchant_a.png,唐代长安市井中年男商贩约四十岁，全身立绘，含双脚，站立姿，露出鞋袜，圆脸朴实笑容，褐色短襦围麻布腰带袖子卷起，头束布巾，手抱一捆货品,768,1280,true
npc,public/assets/characters/npcs/merchant_b.png,唐代长安市井中年男商贩约四十五岁，全身立绘，含双脚，站立姿，露出鞋袜，瘦长脸八字胡，深灰色襦衫，戴软幞头，神情精明，叉腰站姿,768,1280,true
npc,public/assets/characters/npcs/merchant_c.png,唐代长安市井中年男商贩约五十岁，全身立绘，含双脚，站立姿，露出鞋袜，络腮胡，赭色短打外披敞开的布马甲，神情爽朗略狡黠，手指比划着说话姿态,768,1280,true
npc,public/assets/characters/npcs/scholar_a.png,唐代年轻士子约二十五岁，全身立绘，含双脚，站立姿，露出鞋袜，清秀面容，浅青色襕衫，戴软脚幞头，腰束革带，神情严肃，手抱书卷于胸前,768,1280,true
npc,public/assets/characters/npcs/scholar_b.png,唐代年轻士子约二十八岁，全身立绘，含双脚，站立姿，露出鞋袜，清瘦面容略蓄短须，月白色襕衫，戴软脚幞头，神情忧思，手负于身后,768,1280,true
npc,public/assets/characters/npcs/waiter.png,唐代酒肆伙计约二十岁，全身立绘，含双脚，站立姿，露出鞋袜，圆脸，深灰色短打围白色围裙，头束布巾，神情殷勤忙碌，手托木盘上有酒壶,768,1280,true
npc,public/assets/characters/npcs/innkeeper.png,唐代旅店掌柜约四十岁，全身立绘，含双脚，站立姿，露出鞋袜，敦实身材，深褐色襦袍束麻带，戴软幞头，圆脸笑容客气，手持算盘,768,1280,true
npc,public/assets/characters/npcs/elder.png,唐代长安市井老者约六十五岁，全身立绘，含双脚，站立姿，露出鞋袜，花白发须，深灰色旧袍领口微敞，左手持酒杯近唇，神情看透世事的微笑,768,1280,true
npc,public/assets/characters/npcs/student.png,唐代年轻书生约二十二岁，全身立绘，含双脚，站立姿，露出鞋袜，面容白净略带颓丧，淡青色襕衫稍显皱褶，发束布巾，手中半卷书低垂，眉头微锁,768,1280,true
npc,public/assets/characters/npcs/LinFu_Li.png,唐代宰相约六十岁，全身立绘，含双脚，站立姿，露出鞋袜，瘦削面容威严，浅紫色官袍配玉带，戴乌纱幞头，神情阴沉权谋深藏，双手交握于腹前,768,1280,true
npc,public/assets/characters/npcs/JiuLing_Zhang.png,唐代宰相约六十岁，全身立绘，含双脚，站立姿，露出鞋袜，清癯长须，月白色官袍配玉带，戴乌纱幞头，神情温和正直，手持笏板,768,1280,true
bg,public/assets/events/736_qizhao/backgrounds/gonglixian_study.png,唐代士族家中书斋内景，半敞的雕花木窗透进春日午后柔光，书案上摊开《文选》竹简纸卷与一支毛笔，墙上挂祖父像（远景模糊），右侧屏风，地砖朴素，温润米色调，无人物，前景留空,1920,1080,false
bg,public/assets/events/736_qizhao/backgrounds/luoyang_gongyuan.png,唐代洛阳贡院门前广场，红墙黛瓦门楼远景，一面巨大榜单贴在朱漆木板上字迹模糊，远处一群学子背影散去（小且远），秋日清晨薄霜，冷色调带一丝失意，无前景人物,1920,1080,false
bg,public/assets/events/736_qizhao/backgrounds/taishan_summit.png,泰山日出云海，绝顶巨石上有一棵孤松，远处群峰隐现于晨雾，金色朝阳染红云层，气势磅礴，写意水墨晕染，前景留出可放立绘的空地，无人物,1920,1080,false
bg,public/assets/events/736_qizhao/backgrounds/yellow_river.png,黄河奔流秋色，岸边芦苇随风，远处小舟一点，落日余晖，苍茫大气，前景留空，无人物,1920,1080,false
bg,public/assets/events/744_libai/backgrounds/luoyang_jiusi.png,唐代洛阳市井酒肆内景，木梁低顶，红灯笼一串，几张漆桌酒坛酒碗散落，墙边挂胡姬乐器琵琶，木窗外见街影，温暖橙黄灯光，前景留空，无主要人物,1920,1080,false
bg,public/assets/events/744_libai/backgrounds/luoyang_street.png,唐代洛阳东市街景白日，朱漆店铺幌子招牌不写实文字，石板路远处行人模糊，槐树枝叶斑驳光影，温暖明亮，前景留空，无近景人物,1920,1080,false
bg,public/assets/events/744_libai/backgrounds/liangsong_field.png,唐代中原秋日开阔田野，远处一座荒丘古坟远景，近景金黄稻茬地，几只乌鸦掠过，淡薄夕阳，苍凉浪漫，前景留空,1920,1080,false
bg,public/assets/events/744_libai/backgrounds/luoyang_alone.png,唐代洛阳酒肆内景同一构图但更冷清，黄昏，酒坛半空，灯火稀疏，窗外秋叶飘落，前景留空，孤独感,1920,1080,false
bg,public/assets/events/747_exam/backgrounds/changan_street.png,唐代长安东市春末白日街景，朱漆店铺幌子招牌不要写实文字，石板路远处行人模糊，槐树荫与斑驳光影，温暖明亮色调，气氛祥和带科举季气息，前景留空,1920,1080,false
bg,public/assets/events/747_exam/backgrounds/changan_street_2.png,与 changan_street 同一画风的另一角度，长安某街口，店铺与行人散落，远处可见城门楼一角，黄昏柔和暖光，前景留空,1920,1080,false
bg,public/assets/events/747_exam/backgrounds/exam_hall.png,唐代皇宫制举考场内景，肃穆开阔大殿，朱红立柱配雕花斗拱，红漆案桌一排排远去（前景空，远景列），高窗洒下光柱，肃静庄严，前景留空,1920,1080,false
bg,public/assets/events/747_exam/backgrounds/result_release.png,唐代长安东市榜单墙前一角，红墙上贴朱漆榜板字迹不写实，远处零星考生背影散去（小且远），秋日下午冷光，氛围略压抑，前景留空,1920,1080,false
bg,public/assets/events/747_exam/backgrounds/palace_outside.png,唐代皇宫宫门外景，巍峨朱漆宫门与白玉栏杆，远处宫城轮廓，宫门两侧的石狮，秋日正午，明亮庄严，前景留空,1920,1080,false
bg,public/assets/events/751_lifu/backgrounds/changan_ceremony.png,唐代长安东市大礼前夕白日街景，红灯笼挂满街，店铺挂彩旗，行人模糊背影，节庆气氛但庄重，明亮晴日色调，前景留空,1920,1080,false
bg,public/assets/events/751_lifu/backgrounds/dufu_home.png,唐代士族小院内书房夜景，案上墨砚与几张写废的纸卷、半空酒壶，一盏油灯如豆，墙上挂朴素竹简卷，深沉夜色暗调中带一抹暖灯光，孤独压抑，前景留空,1920,1080,false
bg,public/assets/events/751_lifu/backgrounds/yanen_gate.png,唐代皇宫延恩门外景，朱漆木匾巍峨宫门不写实文字留空匾即可，台阶下士子云集（远景背影模糊），早春清晨清冷光线，前景留空,1920,1080,false
bg,public/assets/events/751_lifu/backgrounds/jixianyuan.png,唐代集贤院内景，雅致书院，木栏围出案桌一排排，书架满架古卷，窗外可见庭院梧桐，午后柔光，文雅清静，前景留空,1920,1080,false
bg,public/assets/events/751_lifu/backgrounds/changan_night.png,唐代长安朱雀大街夜景，远处宫城灯火通明，街上零星灯笼，行人模糊背影，秋夜冷蓝调与暖橘灯光对比，孤独感，前景留空,1920,1080,false
bg,public/assets/events/755_anshi/backgrounds/changan_winter.png,唐代长安东市冬日傍晚街景，雪未化，灰瓦红墙染上一层暖夕阳，街上行人模糊背影，气氛紧张含蓄，前景留空,1920,1080,false
bg,public/assets/events/755_anshi/backgrounds/changan_burning.png,长安远景大火浓烟冲天，宫城轮廓在火光中隐现，赭红与黑灰主色调，悲怆苍凉，焦土感，前景留空,1920,1080,false
bg,public/assets/events/755_anshi/backgrounds/changan_ruin.png,唐代长安残破街景，倒塌的牌坊，焦黑的木梁，灰烬飘飞，远处叛军营帐影影绰绰，灰冷色调，前景留空,1920,1080,false
bg,public/assets/events/755_anshi/backgrounds/changan_wall.png,长安城墙之上远望，俯视春日残破宫城与城内萧瑟街市，野草从砖缝长出，远山隐隐，淡淡哀伤的水墨写意，前景留空,1920,1080,false
bg,public/assets/events/757_zuoshiyi/backgrounds/fengxiang_hall.png,唐代肃宗行宫朝堂内景，简朴而非奢华战时行宫，朱红立柱木梁，金色御座空置或远景模糊，左右石阶，肃穆紧张，前景留空,1920,1080,false
bg,public/assets/events/757_zuoshiyi/backgrounds/fengxiang_office.png,唐代官员小值房内景，木桌堆满竹简奏疏，墙上挂一幅唐代地图粗略，一盏油灯，简朴小窗外见庭院一角，秋日午后柔光，前景留空,1920,1080,false
bg,public/assets/events/757_zuoshiyi/backgrounds/fuzhou_thatched.png,唐代北方乡野茅屋外景，黄土院落，几棵枯槐，破柴门半掩，远处秋山，破败但温暖，黄昏，前景留空,1920,1080,false
bg,public/assets/events/757_zuoshiyi/backgrounds/changan_recovered.png,唐代长安朱雀大街，秋日午后，刚刚收复的喜庆与残破并存，街面有清扫痕迹，远处宫城轮廓，市民来往远景背影，前景留空,1920,1080,false
bg,public/assets/events/759_qinzhou/backgrounds/huazhou_yamen.png,唐代州县衙署内景，简陋大堂，案头堆满文书竹简，朱漆案桌却斑驳，墙上挂明镜高悬匾远景模糊，夏日午后炎热感，前景留空,1920,1080,false
bg,public/assets/events/759_qinzhou/backgrounds/shihao_night.png,唐代北方乡村茅屋外景，深夜，月光惨白，柴门半敞，土墙阴影中似有人影暗示而非画出，远处篝火点点，惊心氛围，前景留空,1920,1080,false
bg,public/assets/events/759_qinzhou/backgrounds/yellow_road.png,唐代北方黄土古道秋日傍晚，路边几棵枯柳，远处群山，黄昏冷暖交错，苍凉，路面有车辙脚印，前景留空,1920,1080,false
bg,public/assets/events/759_qinzhou/backgrounds/chengdu_winter.png,唐代成都西郊冬末初春景，淡雪未消，溪水浅流，几棵裸枝小树，远处草堂轮廓微现，宁静带希望，前景留空,1920,1080,false
bg,public/assets/events/760_caotang/backgrounds/huanhuaxi.png,唐代成都浣花溪春景，清澈溪水蜿蜒，溪边竹林青翠，一棵百年楠木撑开大伞，远处草地野花，温润江南调，前景留空,1920,1080,false
bg,public/assets/events/760_caotang/backgrounds/caotang_building.png,唐代茅草屋半完工外景，茅顶才铺到一半，木梁裸露，地上堆砌竹篱与泥土砖，匠人工具散落，春末晴日，前景留空,1920,1080,false
bg,public/assets/events/760_caotang/backgrounds/caotang_yard.png,唐代茅草屋成屋外景，篱笆围出小院，院中药圃与小池，几只鸡，三两株桃花，温馨惬意，前景留空,1920,1080,false
bg,public/assets/events/760_caotang/backgrounds/caotang_storm.png,唐代茅草屋外景，狂风大作，茅草被卷起飞向空中动感，云压低，远处几个小孩剪影抱茅奔跑（小且远），戏剧化压抑光线,1920,1080,false
bg,public/assets/events/760_caotang/backgrounds/caotang_rain.png,唐代茅草屋内景，破败屋顶漏雨成线，地上几滩水洼，一盏油灯将熄，墙边一张矮榻铺旧布衾，夜色阴冷，前景留空,1920,1080,false
bg,public/assets/events/760_caotang/backgrounds/caotang_empty.png,唐代茅草屋外景，门虚掩，院子荒草渐生，春末初夏，光线偏暖但人去屋空，远处小路一辆牛车背影，前景留空,1920,1080,false
bg,public/assets/events/765_kuizhou/backgrounds/kuizhou_gao_zhai.png,唐代峡江岸边木结构小斋内景，窗外可见长江峡口与白帝城远影，案头几卷诗稿一杯茶，秋日午后斜光，前景留空,1920,1080,false
bg,public/assets/events/765_kuizhou/backgrounds/kuizhou_terrace.png,重阳节登高台外景，俯瞰滚滚长江与两岸落叶飞舞，远山萧森，秋风凛冽，孤台一柱，前景留空，氛围悲壮,1920,1080,false
bg,public/assets/events/765_kuizhou/backgrounds/kuizhou_night.png,唐代峡江夜景，远处白帝城孤灯，前景江面雾起，山影深沉，水墨晕染夜色，前景留空,1920,1080,false
bg,public/assets/events/765_kuizhou/backgrounds/kuizhou_boat.png,唐代峡江小木船离岸场景，江面晨雾，远处城墙剪影，船头空不画人，前景江水反光，宁静中带悲意,1920,1080,false
bg,public/assets/events/770_xiangjiang/backgrounds/jianjling_river.png,唐代长江中游开阔江面，远岸城郭剪影，江上几只白帆，春日朦胧晨光，温润，前景留空,1920,1080,false
bg,public/assets/events/770_xiangjiang/backgrounds/yueyang_lou.png,唐代岳阳楼俯瞰洞庭湖远景，楼上扶栏近景，吴楚浩渺东南方分界感，秋日斜阳，水天相接，前景留空扶栏不画人,1920,1080,false
bg,public/assets/events/770_xiangjiang/backgrounds/old_river_dream.png,朦胧梦境江面雾色，浮光氤氲，远处似有人影实无，半透明感，水墨晕染，超现实又静谧，前景留空,1920,1080,false
bg,public/assets/events/770_xiangjiang/backgrounds/leiyang_boat.png,唐代南方江边小篷船泊岸，冬日江雾蒙蒙，岸边几丛枯芦，舟中空不画人，灰蓝调与一线暖光船舱内一盏微弱灯，悲怆而宁静,1920,1080,false
prop,public/assets/props/book_wenxuan.png,"画面里只有一个物件居中,无人物,无装饰图案,几片唐代竹简,用红绳串接半摊开,深褐色竹片上若隐若现的墨字",1024,1024,True
prop,public/assets/props/paper_failed.png,"画面里只有一个物件居中,无人物,无装饰图案,一团揉皱的泛黄宣纸,纸团形状不规则,纸上隐约有墨字",1024,1024,True
prop,public/assets/props/wine_jar.png,"画面里只有一个物件居中,无人物,无装饰图案,一个朴素的唐代陶质酒坛,圆腹收口,深褐色,坛口系一道红绳",1024,1024,True
prop,public/assets/props/wine_cup.png,"画面里只有一个物件居中,无人物,无装饰图案,一个唐代黑漆木耳杯,椭圆形带两侧月牙耳,内壁朱红色",1024,1024,True
prop,public/assets/props/sword.png,"画面里只有一个物件居中,无人物,无装饰图案,一柄唐代长剑出鞘斜置,银色剑身,黑色鲨鱼皮剑鞘,黄铜剑首与剑格",1024,1024,True
prop,public/assets/props/scroll_imperial.png,"画面里只有一个物件居中,无人物,无装饰图案,一卷唐代圣旨诏书,深黄绫面带云纹,两端朱红轴头,半展开露出空白绫面,红绳系扎",1024,1024,True
prop,public/assets/props/brush_inkstone.png,"画面里只有一个物件居中,无人物,无装饰图案,一支竹管狼毫毛笔,旁边一方端石砚台,再旁一锭长方松烟墨,三件文房并排",1024,1024,True
prop,public/assets/props/dafu_scroll.png,"画面里只有一个物件居中,无人物,无装饰图案,一卷唐代手稿,半展开露出密布楷书墨字的宣纸,卷轴用红绳系扎",1024,1024,True
prop,public/assets/props/military_dispatch.png,"画面里只有一个物件居中,无人物,无装饰图案,一只深褐色圆筒形皮制军报筒,顶端红色封口,筒口插一支羽毛",1024,1024,True
prop,public/assets/props/petition.png,"画面里只有一个物件居中,无人物,无装饰图案,一份唐代奏疏,白色宣纸折叠展开,纸上密布楷书墨字,文末有一方朱红印章",1024,1024,True
prop,public/assets/props/helmet_broken.png,"画面里只有一个物件居中,无人物,无装饰图案,一顶破损的唐代乌纱幞头,黑色软纱有裂口,帽体微歪",1024,1024,True
prop,public/assets/props/spear.png,"画面里只有一个物件居中,无人物,无装饰图案,一杆唐代长矛,黑漆木杆笔直,顶端银色矛头,杆尾系一束红色流苏",1024,1024,True
prop,public/assets/props/letter_jiashu.png,"画面里只有一个物件居中,无人物,无装饰图案,一封唐代家书,粗麻纸折叠未拆,封口处一枚红色火漆印",1024,1024,True
prop,public/assets/props/thatched_roof_piece.png,"画面里只有一个物件居中,无人物,无装饰图案,几束散开的枯黄色茅草,呈风中飘飞的形态",1024,1024,True
prop,public/assets/props/wine_cup_empty.png,"画面里只有一个物件居中,无人物,无装饰图案,一个唐代黑漆木耳杯空置横卧,内壁朱红色,空无一物",1024,1024,True
prop,public/assets/props/walking_stick.png,"画面里只有一个物件居中,无人物,无装饰图案,一根唐代老人木杖,深褐色弯曲树枝制成,顶端微膨呈手握形",1024,1024,True
prop,public/assets/props/boat_oar.png,"画面里只有一个物件居中,无人物,无装饰图案,一支唐代木船桨,深色硬木长杆,一端宽扁桨叶",1024,1024,True
prop,public/assets/props/medicine_bowl.png,"画面里只有一个物件居中,无人物,无装饰图案,一只朴素唐代陶碗,碗中盛深褐色汤药,碗旁散落几片药材",1024,1024,True
dufu,public/assets/characters/dufu/youth/standing.png,"唐代青年文士杜甫约二十五岁,全身立绘,含双脚,站立姿,瘦削方正脸庞,剑眉,眼神深邃带憧憬,长发束起戴布巾,白色襕衫腰束革带,手负于身后远望,意气风发",768,1280,True
dufu,public/assets/characters/dufu/youth/drinking.png,"唐代青年文士杜甫约三十岁,半身立绘,瘦削方正脸庞,剑眉,眼神微醺微笑,长发束起戴布巾,浅青襕衫领口微敞,右手举酒杯近唇,洒脱欢愉",768,1024,True
dufu,public/assets/characters/dufu/scholar/standing.png,"唐代中年文士杜甫约三十六岁,全身立绘,含双脚,站立姿,瘦削方正脸庞,蓄短须,眉宇间带忧思,深青襕衫戴软脚幞头,腰束革带,手抱书卷于胸前端正持卷",768,1280,True
dufu,public/assets/characters/dufu/scholar/writing.png,"唐代中年文士杜甫约三十九岁,半身坐姿,瘦削方正脸庞,蓄短须,眉头微锁专注,深青襕衫戴软脚幞头,案前提笔欲书,夜灯柔光照面",768,1024,True
dufu,public/assets/characters/dufu/scholar/dejected.png,"唐代中年文士杜甫约三十六岁,半身立绘,瘦削方正脸庞,蓄短须,眼角下垂神情失意,深青襕衫戴软脚幞头,双手垂于身前,头微低,落寞",768,1024,True
dufu,public/assets/characters/dufu/official/standing.png,"唐代官员杜甫约四十五岁,全身立绘,含双脚,站立姿,瘦削方正脸庞,蓄整齐短须,神情端正紧绷,身穿绿色八品官袍配玉带,戴乌纱幞头,腰束革带,手持笏板",768,1280,True
dufu,public/assets/characters/dufu/official/kneeling.png,"唐代官员杜甫约四十五岁,半身跪奏姿,瘦削方正脸庞,蓄短须,神情坚定凝重,绿色八品官袍配玉带,戴乌纱幞头,双手捧笏板举至胸前,正面端跪",768,1024,True
dufu,public/assets/characters/dufu/drift/walking.png,"唐代漂泊文士杜甫约四十八岁,全身立绘,含双脚,行走姿,憔悴瘦削脸庞须发花白,神情疲惫,旧灰麻布袍系草绳,戴破旧布巾,左手拄木杖,背包袱,沧桑步履",768,1280,True
dufu,public/assets/characters/dufu/drift/holding_child.png,"唐代中年文士杜甫约五十岁,半身立绘,瘦削脸庞须发花白,神情温柔怜爱,旧灰麻布袍,左臂怀抱约四岁小女,小女靠在父亲肩头,温暖父爱",768,1024,True
dufu,public/assets/characters/dufu/drift/writing.png,"唐代中年文士杜甫约四十九岁,半身坐姿,瘦削脸庞须发花白,神情专注沉静,旧灰麻布袍,案前提笔写诗,茅屋柔暖光线",768,1024,True
dufu,public/assets/characters/dufu/drift/grief.png,"唐代中年文士杜甫约四十七岁,半身立绘,憔悴脸庞须发凌乱,神情悲恸,左手掩面,右手垂下握紧布卷,旧深灰麻布袍染尘,泪痕在脸颊",768,1024,True
dufu,public/assets/characters/dufu/drift/drinking_alone.png,"唐代中年文士杜甫约五十三岁,半身立绘,憔悴瘦削脸庞须发花白,神情孤寂,旧深灰麻布袍,右手举空酒杯凝视,眉头深锁,孤独萧索",768,1024,True
dufu,public/assets/characters/dufu/old/sitting.png,"唐代老年诗人杜甫约五十六岁,全身坐姿,扶杖坐于江边石上,瘦骨嶙峋须发全白,神情苍凉远眺,破旧深褐麻袍,双脚露草鞋,身侧木杖,登高望远",768,1280,True
dufu,public/assets/characters/dufu/old/dying.png,"唐代老年诗人杜甫约五十八岁,半身病榻倚靠姿,干瘦脸庞须发全白,病容憔悴眼神空远,破旧深褐袍,身披旧布衾,手中半握诗稿,船舱微弱灯光,悲凉宁静",768,1024,True
